"day","aliveThatDay","diedThatDay","totalDeaths",
"0","5","0","0",
"1","5","0","0",
"2","5","0","0",
"3","5","0","0",
"4","5","0","0",
"5","5","0","0",
"6","5","0","0",
"7","5","0","0",
"8","5","0","0",
"9","5","0","0",
"10","7","0","0",
"11","7","0","0",
"12","7","0","0",
"13","7","0","0",
"14","7","0","0",
"15","7","0","0",
"16","7","0","0",
"17","7","0","0",
"18","7","0","0",
"19","7","0","0",
"20","7","0","0",
"21","7","0","0",
"22","7","0","0",
"23","7","0","0",
"24","7","0","0",
"25","8","0","0",
"26","8","0","0",
"27","8","0","0",
"28","9","0","0",
"29","9","0","0",
"30","9","0","0",
"31","9","0","0",
"32","9","0","0",
"33","9","0","0",
"34","9","0","0",
"35","10","0","0",
"36","10","0","0",
"37","11","0","0",
"38","11","0","0",
"39","12","0","0",
"40","12","0","0",
"41","13","0","0",
"42","14","0","0",
"43","14","0","0",
"44","15","0","0",
"45","15","0","0",
"46","15","0","0",
"47","16","0","0",
"48","16","0","0",
"49","16","1","1",
"50","17","0","1",
"51","18","0","1",
"52","17","1","2",
"53","18","0","2",
"54","19","0","2",
"55","21","0","2",
"56","21","0","2",
"57","22","0","2",
"58","22","0","2",
"59","24","0","2",
"60","25","1","3",
"61","26","0","3",
"62","27","0","3",
"63","29","1","4",
"64","30","0","4",
"65","33","0","4",
"66","33","1","5",
"67","35","0","5",
"68","36","0","5",
"69","38","0","5",
"70","38","2","7",
"71","38","2","9",
"72","38","0","9",
"73","38","0","9",
"74","39","1","10",
"75","39","0","10",
"76","36","3","13",
"77","35","1","14",
"78","34","2","16",
"79","36","1","17",
"80","38","0","17",
"81","38","1","18",
"82","40","1","19",
"83","42","0","19",
"84","44","2","21",
"85","44","3","24",
"86","44","2","26",
"87","48","0","26",
"88","48","0","26",
"89","48","1","27",
"90","48","2","29",
"91","48","1","30",
"92","51","0","30",
"93","54","0","30",
"94","53","1","31",
"95","51","3","34",
"96","52","0","34",
"97","53","2","36",
"98","53","1","37",
"99","53","4","41",
"100","57","2","43",
"101","58","2","45",
"102","61","1","46",
"103","63","1","47",
"104","62","4","51",
"105","62","2","53",
"106","61","2","55",
"107","64","0","55",
"108","66","2","57",
"109","67","1","58",
"110","66","1","59",
"111","66","1","60",
"112","65","1","61",
"113","64","2","63",
"114","60","4","67",
"115","60","2","69",
"116","60","3","72",
"117","60","2","74",
"118","61","0","74",
"119","59","3","77",
"120","60","1","78",
"121","61","0","78",
"122","61","3","81",
"123","59","4","85",
"124","59","3","88",
"125","58","3","91",
"126","59","1","92",
"127","55","6","98",
"128","57","2","100",
"129","58","3","103",
"130","56","2","105",
"131","57","0","105",
"132","58","0","105",
"133","57","3","108",
"134","57","3","111",
"135","57","2","113",
"136","57","1","114",
"137","56","2","116",
"138","58","1","117",
"139","59","1","118",
"140","60","1","119",
"141","61","2","121",
"142","64","1","122",
"143","66","1","123",
"144","65","2","125",
"145","65","1","126",
"146","66","1","127",
"147","64","2","129",
"148","66","0","129",
"149","65","3","132",
"150","65","4","136",
"151","65","2","138",
"152","64","1","139",
"153","63","4","143",
"154","62","2","145",
"155","61","2","147",
"156","61","3","150",
"157","63","1","151",
"158","63","0","151",
"159","63","2","153",
"160","62","3","156",
"161","62","3","159",
"162","59","4","163",
"163","59","2","165",
"164","60","1","166",
"165","62","2","168",
"166","60","3","171",
"167","61","1","172",
"168","62","1","173",
"169","62","2","175",
"170","63","3","178",
"171","66","1","179",
"172","65","1","180",
"173","65","1","181",
"174","68","1","182",
"175","69","2","184",
"176","65","4","188",
"177","64","3","191",
"178","63","3","194",
"179","65","1","195",
"180","64","3","198",
"181","61","3","201",
"182","59","3","204",
"183","61","1","205",
"184","61","2","207",
"185","59","2","209",
"186","58","2","211",
"187","58","2","213",
"188","55","4","217",
"189","57","0","217",
"190","56","2","219",
"191","56","3","222",
"192","56","1","223",
"193","58","1","224",
"194","61","2","226",
"195","60","2","228",
"196","61","0","228",
"197","61","1","229",
"198","60","3","232",
"199","58","3","235",
"200","58","2","237",
"201","60","0","237",
"202","58","4","241",
"203","57","3","244",
"204","55","2","246",
"205","54","3","249",
"206","55","1","250",
"207","55","2","252",
"208","55","1","253",
"209","54","2","255",
"210","56","3","258",
"211","55","2","260",
"212","56","2","262",
"213","58","1","263",
"214","59","1","264",
"215","59","2","266",
"216","61","0","266",
"217","59","4","270",
"218","59","2","272",
"219","61","1","273",
"220","60","1","274",
"221","61","1","275",
"222","60","2","277",
"223","59","2","279",
"224","58","2","281",
"225","59","2","283",
"226","59","2","285",
"227","61","1","286",
"228","63","0","286",
"229","63","1","287",
"230","63","2","289",
"231","61","3","292",
"232","61","3","295",
"233","63","0","295",
"234","64","1","296",
"235","65","1","297",
"236","66","2","299",
"237","67","1","300",
"238","61","6","306",
"239","58","3","309",
"240","59","2","311",
"241","58","2","313",
"242","58","2","315",
"243","59","1","316",
"244","58","1","317",
"245","59","1","318",
"246","61","0","318",
"247","61","3","321",
"248","58","4","325",
"249","59","1","326",
"250","55","5","331",
"251","57","2","333",
"252","56","2","335",
"253","56","2","337",
"254","58","0","337",
"255","57","2","339",
"256","56","2","341",
"257","56","2","343",
"258","58","1","344",
"259","56","3","347",
"260","55","3","350",
"261","55","1","351",
"262","53","3","354",
"263","52","2","356",
"264","54","1","357",
"265","51","3","360",
"266","50","3","363",
"267","51","0","363",
"268","53","2","365",
"269","54","1","366",
"270","58","0","366",
"271","55","3","369",
"272","53","3","372",
"273","54","1","373",
"274","54","1","374",
"275","56","0","374",
"276","56","0","374",
"277","56","1","375",
"278","56","1","376",
"279","54","2","378",
"280","54","3","381",
"281","52","5","386",
"282","54","1","387",
"283","56","0","387",
"284","56","2","389",
"285","55","1","390",
"286","55","1","391",
"287","56","1","392",
"288","57","1","393",
"289","59","2","395",
"290","59","2","397",
"291","58","2","399",
"292","56","3","402",
"293","56","1","403",
"294","54","3","406",
"295","57","0","406",
"296","56","1","407",
"297","56","2","409",
"298","56","1","410",
"299","54","2","412",
"300","55","1","413",
"301","55","3","416",
"302","54","2","418",
"303","55","1","419",
"304","55","1","420",
"305","54","2","422",
"306","54","1","423",
"307","54","1","424",
"308","54","3","427",
"309","56","0","427",
"310","57","2","429",
"311","53","4","433",
"312","55","1","434",
"313","54","2","436",
"314","55","0","436",
"315","53","3","439",
"316","50","3","442",
"317","49","2","444",
"318","51","0","444",
"319","51","1","445",
"320","51","0","445",
"321","50","2","447",
"322","46","5","452",
"323","45","1","453",
"324","44","2","455",
"325","44","1","456",
"326","45","1","457",
"327","45","2","459",
"328","47","0","459",
"329","46","1","460",
"330","45","2","462",
"331","45","2","464",
"332","44","2","466",
"333","42","2","468",
"334","44","0","468",
"335","43","1","469",
"336","43","1","470",
"337","42","2","472",
"338","43","2","474",
"339","41","3","477",
"340","41","2","479",
"341","41","3","482",
"342","41","1","483",
"343","42","1","484",
"344","41","2","486",
"345","41","0","486",
"346","42","1","487",
"347","41","1","488",
"348","44","1","489",
"349","45","2","491",
"350","45","1","492",
"351","44","1","493",
"352","43","2","495",
"353","46","0","495",
"354","47","0","495",
"355","47","0","495",
"356","48","0","495",
"357","45","3","498",
"358","45","2","500",
"359","44","3","503",
"360","45","1","504",
"361","46","1","505",
"362","48","0","505",
"363","47","1","506",
"364","44","3","509",
"365","46","0","509",
"366","46","1","510",
"367","47","1","511",
"368","48","1","512",
"369","47","1","513",
"370","49","1","514",
"371","49","2","516",
"372","50","0","516",
"373","50","2","518",
"374","53","1","519",
"375","53","1","520",
"376","53","2","522",
"377","54","0","522",
"378","52","2","524",
"379","54","1","525",
"380","53","2","527",
"381","52","2","529",
"382","53","1","530",
"383","52","3","533",
"384","53","1","534",
"385","50","3","537",
"386","50","1","538",
"387","47","3","541",
"388","46","2","543",
"389","45","2","545",
"390","50","0","545",
"391","54","0","545",
"392","55","2","547",
"393","53","2","549",
"394","54","1","550",
"395","53","1","551",
"396","54","1","552",
"397","54","1","553",
"398","54","2","555",
"399","53","1","556",
"400","52","1","557",
"401","51","3","560",
"402","50","2","562",
"403","52","1","563",
"404","51","2","565",
"405","51","0","565",
"406","52","0","565",
"407","48","4","569",
"408","48","1","570",
"409","49","2","572",
"410","49","1","573",
"411","47","2","575",
"412","43","6","581",
"413","44","1","582",
"414","46","0","582",
"415","46","2","584",
"416","47","0","584",
"417","46","2","586",
"418","48","0","586",
"419","47","2","588",
"420","49","0","588",
"421","50","1","589",
"422","48","2","591",
"423","47","2","593",
"424","46","3","596",
"425","46","2","598",
"426","46","2","600",
"427","49","0","600",
"428","49","2","602",
"429","51","0","602",
"430","51","2","604",
"431","51","1","605",
"432","54","0","605",
"433","55","0","605",
"434","59","0","605",
"435","61","1","606",
"436","63","1","607",
"437","64","2","609",
"438","65","0","609",
"439","61","4","613",
"440","60","2","615",
"441","58","2","617",
"442","58","3","620",
"443","58","4","624",
"444","59","2","626",
"445","61","2","628",
"446","63","1","629",
"447","65","0","629",
"448","63","3","632",
"449","64","0","632",
"450","61","3","635",
"451","64","2","637",
"452","65","1","638",
"453","65","2","640",
"454","63","4","644",
"455","64","2","646",
"456","64","2","648",
"457","63","3","651",
"458","61","4","655",
"459","61","0","655",
"460","60","3","658",
"461","62","0","658",
"462","61","2","660",
"463","59","3","663",
"464","57","2","665",
"465","58","0","665",
"466","58","1","666",
"467","58","3","669",
"468","59","2","671",
"469","58","2","673",
"470","60","0","673",
"471","62","2","675",
"472","61","2","677",
"473","60","2","679",
"474","60","1","680",
"475","57","4","684",
"476","55","4","688",
"477","56","1","689",
"478","56","1","690",
"479","56","4","694",
"480","56","0","694",
"481","57","2","696",
"482","57","1","697",
"483","55","2","699",
"484","53","4","703",
"485","52","2","705",
"486","52","1","706",
"487","53","1","707",
"488","54","1","708",
"489","54","1","709",
"490","55","2","711",
"491","55","1","712",
"492","55","1","713",
"493","54","3","716",
"494","53","1","717",
"495","50","3","720",
"496","50","0","720",
"497","53","0","720",
"498","53","2","722",
"499","55","1","723",
"500","55","1","724",
"501","55","1","725",
"502","54","2","727",
"503","54","2","729",
"504","51","3","732",
"505","48","3","735",
"506","48","1","736",
"507","50","0","736",
"508","52","0","736",
"509","49","3","739",
"510","48","1","740",
"511","44","4","744",
"512","46","2","746",
"513","51","0","746",
"514","50","1","747",
"515","53","0","747",
"516","51","2","749",
